activity_id,community_id,activity_name_zh,activity_type_code,description_zh,start_date,end_date,recurring,venue_name_zh,address_zh,participant_count,target_groups,evidence_level,source_title,source_url,source_accessed_on,record_status,data_quality_flag,is_example,created_at,updated_at,schema_version,notes
ACT-2024-0006,COM-0006,元宵踩街活動,culture,臺北市政府社會局核定之「元宵踩街活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-02-01,2024-02-29,false,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-006；核定表編號 23，PDF 第 3 頁。 原始預定期間：2月擇1日。 預計受益人數：400；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0007,COM-0029,中秋齊心聚團圓,culture,臺北市政府社會局核定之「中秋齊心聚團圓」方案；本紀錄保留核定名稱與預定執行期間。,2024-09-01,2024-09-30,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-007；核定表編號 46，PDF 第 1 頁。 原始預定期間：9月擇1日。 預計受益人數：500；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0008,COM-0018,苗栗縣卓越塭內社區發展協會參訪,education,臺北市政府社會局核定之「苗栗縣卓越塭內社區發展協會參訪」方案；本紀錄保留核定名稱與預定執行期間。,2024-05-01,2024-11-30,true,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-008；核定表編號 47，PDF 第 1 頁。 原始預定期間：5–11月擇2日。 預計受益人數：32；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0009,COM-0026,友善社區重陽敬老活動,culture,臺北市政府社會局核定之「友善社區重陽敬老活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-10-01,2024-10-31,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-009；核定表編號 48，PDF 第 1 頁。 原始預定期間：10月擇1日。 預計受益人數：500；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0010,COM-0030,臺南市南區金華社區觀摩,education,臺北市政府社會局核定之「臺南市南區金華社區觀摩」方案；本紀錄保留核定名稱與預定執行期間。,2024-03-01,2024-12-31,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-010；核定表編號 49，PDF 第 1 頁。 原始預定期間：3–12月擇1日。 預計受益人數：40；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0011,COM-0001,月圓花好歡唱活動,culture,臺北市政府社會局核定之「月圓花好歡唱活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-09-01,2024-10-31,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-011；核定表編號 50，PDF 第 1 頁。 原始預定期間：9–10月擇1日。 預計受益人數：200；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0012,COM-0015,臺北市萬華區福音社區發展協會社區參訪活動,education,臺北市政府社會局核定之「臺北市萬華區福音社區發展協會社區參訪活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-04-01,2024-05-31,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-012；核定表編號 51，PDF 第 1 頁。 原始預定期間：4–5月擇1日。 預計受益人數：40；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0013,COM-0013,烘焙研習班,education,臺北市政府社會局核定之「烘焙研習班」方案；本紀錄保留核定名稱與預定執行期間。,2024-04-01,2024-06-30,true,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-013；核定表編號 52，PDF 第 2 頁。 原始預定期間：4–6月。 預計受益人數：20；此值不是實際參與人次。 核定金額：新臺幣 14400 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0014,COM-0013,績優社區觀摩,education,臺北市政府社會局核定之「績優社區觀摩」方案；本紀錄保留核定名稱與預定執行期間。,2024-06-01,2024-06-30,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-014；核定表編號 53，PDF 第 2 頁。 原始預定期間：6月擇1日。 預計受益人數：30；此值不是實際參與人次。 核定金額：新臺幣 15600 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0015,COM-0032,愛在孝德姊姊妹妹舞蹈班,health_promotion,臺北市政府社會局核定之「愛在孝德姊姊妹妹舞蹈班」方案；本紀錄保留核定名稱與預定執行期間。,2024-04-01,2024-12-31,true,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-015；核定表編號 54，PDF 第 2 頁。 原始預定期間：4–12月。 預計受益人數：20；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0016,COM-0032,愛在孝德月圓人團圓,culture,臺北市政府社會局核定之「愛在孝德月圓人團圓」方案；本紀錄保留核定名稱與預定執行期間。,2024-09-01,2024-09-30,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-016；核定表編號 55，PDF 第 2 頁。 原始預定期間：9月擇1日。 預計受益人數：250；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0017,COM-0024,新竹縣芎林永興社區參訪,education,臺北市政府社會局核定之「新竹縣芎林永興社區參訪」方案；本紀錄保留核定名稱與預定執行期間。,2024-04-01,2024-06-30,false,,,,,A,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-017；核定表編號 56，PDF 第 2 頁。 原始預定期間：4–6月擇1日。 預計受益人數：42；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
