community_id,association_name_zh,government_activity_record_count,government_activity_years,government_service_url,official_website_url,official_facebook_url,self_managed_source_status,todo
COM-0014,臺北市萬華區糖廍社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0015,臺北市萬華區福音社區發展協會,1,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0016,臺北市萬華區艋舺社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0017,臺北市萬華區綠堤社區發展協會,2,2024;2025,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0018,臺北市萬華區日祥社區發展協會,1,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0019,臺北市萬華區南一社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0020,臺北市萬華區展新社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0021,臺北市萬華區新國光社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0022,臺北市萬華區新和七普拉斯社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0023,臺北市萬華區青年社區發展協會,5,2024;2025;2026,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0024,臺北市萬華區馬場町社區發展協會,2,2024,https://esp.gov.taipei/openData/orgInfo/852,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0025,臺北市萬華區國興水漾社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0026,臺北市萬華區忠德友善社區發展協會,1,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0027,臺北市萬華區忠德社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0028,臺北市萬華區我愛加蚋錦德社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0029,臺北市萬華區和平社區發展協會,1,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0030,臺北市萬華區菜園社區發展協會,1,2024,https://esp.gov.taipei/openData/orgInfo/4570,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0031,臺北市萬華區新起社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0032,臺北市萬華區愛在孝德社區發展協會,2,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0033,臺北市萬華區西門社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
