source_record_id,source_key,source_row,pdf_page,community_id,association_short_name,activity_name_zh,activity_type_code,period_text,start_date,end_date,recurring,planned_beneficiary_count,approved_amount_twd
SRC-ACT-2024-007,S113-STAGE2,46,1,COM-0029,和平,中秋齊心聚團圓,culture,9月擇1日,2024-09-01,2024-09-30,false,500,20000
SRC-ACT-2024-008,S113-STAGE2,47,1,COM-0018,日祥,苗栗縣卓越塭內社區發展協會參訪,education,5–11月擇2日,2024-05-01,2024-11-30,true,32,20000
SRC-ACT-2024-009,S113-STAGE2,48,1,COM-0026,忠德友善,友善社區重陽敬老活動,culture,10月擇1日,2024-10-01,2024-10-31,false,500,20000
SRC-ACT-2024-010,S113-STAGE2,49,1,COM-0030,菜園,臺南市南區金華社區觀摩,education,3–12月擇1日,2024-03-01,2024-12-31,false,40,20000
SRC-ACT-2024-011,S113-STAGE2,50,1,COM-0001,華江,月圓花好歡唱活動,culture,9–10月擇1日,2024-09-01,2024-10-31,false,200,20000
SRC-ACT-2024-012,S113-STAGE2,51,1,COM-0015,福音,臺北市萬華區福音社區發展協會社區參訪活動,education,4–5月擇1日,2024-04-01,2024-05-31,false,40,20000
SRC-ACT-2024-013,S113-STAGE2,52,2,COM-0013,好厝邊,烘焙研習班,education,4–6月,2024-04-01,2024-06-30,true,20,14400
SRC-ACT-2024-014,S113-STAGE2,53,2,COM-0013,好厝邊,績優社區觀摩,education,6月擇1日,2024-06-01,2024-06-30,false,30,15600
SRC-ACT-2024-015,S113-STAGE2,54,2,COM-0032,愛在孝德,愛在孝德姊姊妹妹舞蹈班,health_promotion,4–12月,2024-04-01,2024-12-31,true,20,20000
SRC-ACT-2024-016,S113-STAGE2,55,2,COM-0032,愛在孝德,愛在孝德月圓人團圓,culture,9月擇1日,2024-09-01,2024-09-30,false,250,20000
SRC-ACT-2024-017,S113-STAGE2,56,2,COM-0024,馬場町,新竹縣芎林永興社區參訪,education,4–6月擇1日,2024-04-01,2024-06-30,false,42,20000
SRC-ACT-2024-018,S113-STAGE2,57,2,COM-0024,馬場町,手機使用教學,digital_learning,9–11月,2024-09-01,2024-11-30,true,20,20000
SRC-ACT-2024-019,S113-STAGE2,58,2,COM-0007,新忠,長青樂活班,health_promotion,3–12月,2024-03-01,2024-12-31,true,30,20000
SRC-ACT-2024-020,S113-STAGE2,73,3,COM-0005,中正新城,有氧樂齡操課程,health_promotion,7–9月,2024-07-01,2024-09-30,true,20,20000
SRC-ACT-2024-021,S113-STAGE2,74,4,COM-0005,中正新城,社區入戶關懷訪視及共好小站,care_service,3–7月,2024-03-01,2024-07-31,true,155,30000
SRC-ACT-2024-022,S113-STAGE2,75,4,COM-0011,壽德,社區共好小站服務培力,care_service,4–7月,2024-04-01,2024-07-31,true,100,10000
SRC-ACT-2024-023,S113-STAGE2,76,4,COM-0011,壽德,社區友善共好增能培力,volunteer_service,3–6月,2024-03-01,2024-06-30,true,20,39100
SRC-ACT-2024-024,S113-STAGE2,77,4,COM-0005,中正新城,志力互助增能 GO,volunteer_service,5–7月,2024-05-01,2024-07-31,true,15,36600
SRC-ACT-2024-025,S113-STAGE2,78,4,COM-0007,新忠,志工團隊培力方案,volunteer_service,3–10月,2024-03-01,2024-10-31,true,20,36540
SRC-ACT-2024-026,S113-STAGE2,79,4,COM-0007,新忠,入戶關懷暨高齡長者敬老關懷活動,care_service,4–10月,2024-04-01,2024-10-31,true,130,40000
SRC-ACT-2024-027,S113-P56-1,13,3,COM-0023,青年,社區多元關懷服務,care_service,1–12月,2024-01-01,2024-12-31,true,,550000
SRC-ACT-2024-028,S113-P56-1,14,3,COM-0005,中正新城,互助共好社區生活方案,care_service,1月16日–12月,2024-01-16,2024-12-31,true,,200000
SRC-ACT-2024-029,S113-P56-1,15,3,COM-0007,新忠,新忠社區互助共好大家庭,care_service,1–12月,2024-01-01,2024-12-31,true,,500000
SRC-ACT-2024-030,S113-P56-2,50,1,COM-0010,保德,社區互助關懷、共創美好社區,care_service,1–12月,2024-01-01,2024-12-31,true,,450000
SRC-ACT-2025-001,S114-STAGE1,2,1,COM-0004,堀江町,堀江町社區歡慶活動,culture,2月及5月各擇1日,2025-02-01,2025-05-31,true,500,20000
SRC-ACT-2025-002,S114-STAGE1,3,1,COM-0023,青年,耆老傳承親子活動,youth_engagement,2月擇1日,2025-02-01,2025-02-28,false,250,20000
SRC-ACT-2025-003,S114-STAGE1,4,1,COM-0010,保德,元宵節活動,culture,2月擇1日,2025-02-01,2025-02-28,false,250,20000
SRC-ACT-2025-004,S114-STAGE1,5,1,COM-0017,綠堤,綠堤里歡慶元宵活動,culture,2月擇1日,2025-02-01,2025-02-28,false,400,20000
SRC-ACT-2025-005,S114-STAGE1,21,2,COM-0006,忠貞,元宵踩街活動,culture,2月擇1日,2025-02-01,2025-02-28,false,350,20000
SRC-ACT-2025-006,S114-P56-1,3,1,COM-0023,青年,社區多元關懷服務,care_service,1月1日–12月31日,2025-01-01,2025-12-31,true,,550000
SRC-ACT-2025-007,S114-P56-1,18,4,COM-0005,中正新城,互助共好社區生活方案,care_service,1月16日–12月15日,2025-01-16,2025-12-15,true,,350000
SRC-ACT-2025-008,S114-P56-1,21,5,COM-0007,新忠,新忠社區互助共好大家庭,care_service,1月1日–12月31日,2025-01-01,2025-12-31,true,,500000
SRC-ACT-2025-009,S114-P56-1,34,9,COM-0010,保德,社區互助關懷、共創美好社區,care_service,1月1日–12月31日,2025-01-01,2025-12-31,true,,500000
SRC-ACT-2025-010,S114-P4-3,322,1,COM-0007,新忠,長者生命故事共寫社區記憶食譜,culture,5–12月,2025-05-01,2025-12-31,true,90,95000
SRC-ACT-2026-001,S115-P56,5,10,COM-0023,青年,社區多元關懷服務,care_service,115年1月1日–115年12月31日,2026-01-01,2026-12-31,true,,580000
SRC-ACT-2026-002,S115-P56,6,10,COM-0005,中正新城,互助共好社區生活方案,care_service,115年1月1日–115年12月31日,2026-01-01,2026-12-31,true,,200000
SRC-ACT-2026-003,S115-P56,9,10,COM-0007,新忠,新忠社區互助共好大家庭,care_service,115年1月1日–115年12月31日,2026-01-01,2026-12-31,true,,500000
SRC-ACT-2026-004,S115-P56,33,10,COM-0010,保德,社區互助關懷、共創美好社區,care_service,115年1月1日–115年12月31日,2026-01-01,2026-12-31,true,,500000
SRC-ACT-2026-005,S115-P56,61,11,COM-0011,壽德,社區友善共好互持網－壽德親子弱勢共好好未來,care_service,115年7月1日–115年12月31日,2026-07-01,2026-12-31,true,,150000
